id,value
id_0,25.354266671
id_1,63.7526805872
id_2,18.9342780119
id_3,29.0508092589
id_4,9.19696543648
id_5,33.639558413
id_6,41.0974381701
id_7,18.1962465451
id_8,52.647142456
id_9,32.2630845557
id_10,38.814553027
id_11,59.0944624995
id_12,35.1258419551
id_13,41.7599708382
id_14,26.3950027109
id_15,12.964343665
id_16,51.8369961778
id_17,23.9070053068
id_18,18.2459402597
id_19,19.3373277865
id_20,15.9784853226
id_21,31.5673840225
id_22,39.04896526
id_23,11.0116214948
id_24,61.1229222224
id_25,45.8786562638
id_26,29.0016311094
id_27,6.39788251343
id_28,29.0231399383
id_29,37.2793310718
id_30,18.3588378895
id_31,11.2910366712
id_32,16.3999530318
id_33,7.71029088366
id_34,15.1680471574
id_35,42.2434101076
id_36,21.8556762553
id_37,27.8106694103
id_38,3.70244807977
id_39,59.6599449718
id_40,47.9315887473
id_41,20.138385458
id_42,52.7020447708
id_43,18.7167391275
id_44,45.2587342337
id_45,48.4015405438
id_46,57.4159296503
id_47,41.4980604149
id_48,55.776619382
id_49,39.7357601939
id_50,30.4622001744
id_51,23.8871920082
id_52,38.5844560557
id_53,23.4718808843
id_54,37.2038934504
id_55,38.3793016458
id_56,25.1349875392
id_57,22.264786237
id_58,35.3543529191
id_59,31.8106243788
id_60,13.2598767879
id_61,21.5708179589
id_62,32.3978630509
id_63,54.0061898192
id_64,50.9491736673
id_65,26.0318936553
id_66,38.3894155487
id_67,53.2424647882
id_68,29.1246912073
id_69,40.3688544423
id_70,64.5963143328
id_71,55.4027852706
id_72,41.7398971909
id_73,14.1957669419
id_74,14.2210685387
id_75,36.4899983586
id_76,62.8231891657
id_77,2.73220462596
id_78,41.0951055509
id_79,42.5797873297
id_80,7.78554725276
id_81,22.7634880516
id_82,5.34662236849
id_83,30.5880769932
id_84,8.49037568334
id_85,5.50965429656
id_86,16.729670666
id_87,10.5649452737
id_88,20.2664378373
id_89,25.5710765995
id_90,35.2100013
id_91,11.795475456
id_92,12.4673918861
id_93,9.26985907607
id_94,37.6317793026
id_95,15.3181589307
id_96,16.5349850367
id_97,9.31072180125
id_98,11.9785353166
id_99,4.68676684056
id_100,9.64717664501
id_101,17.8323903471
id_102,12.5719878319
id_103,7.98819527566
id_104,12.8914655372
id_105,36.347318506
id_106,26.7977370707
id_107,7.43277572919
id_108,16.7731718298
id_109,14.9591271021
id_110,12.1889121358
id_111,16.9688715881
id_112,16.0502139993
id_113,26.5232390898
id_114,18.8939560647
id_115,16.473822143
id_116,6.09963237654
id_117,46.2483897007
id_118,26.9668044288
id_119,0.496270816671
id_120,-0.989015708429
id_121,9.30989858288
id_122,12.5764500969
id_123,12.9617493442
id_124,7.56168425636
id_125,24.8998843466
id_126,20.8226042671
id_127,10.1782810067
id_128,20.6830061792
id_129,14.0348480842
id_130,-0.415417798438
id_131,32.8336865144
id_132,14.1824901355
id_133,20.5872147555
id_134,26.2449780989
id_135,23.9396558247
id_136,10.0098543113
id_137,21.0496527561
id_138,78.5778371836
id_139,60.1857033954
id_140,27.0150832072
id_141,18.0954500345
id_142,24.6271440979
id_143,7.23076365205
id_144,11.727259091
id_145,10.2013573949
id_146,19.6264723068
id_147,7.82138051082
id_148,12.704404516
id_149,15.4744865722
id_150,46.4880418642
id_151,21.9258675333
id_152,22.2053633388
id_153,14.5223268081
id_154,13.8120668095
id_155,24.9565446859
id_156,25.2843462923
id_157,36.2747824701
id_158,4.51891972638
id_159,23.5796676645
id_160,42.0726360092
id_161,19.4396050379
id_162,64.027656486
id_163,17.127365784
id_164,33.8055460582
id_165,23.5326750791
id_166,24.4922091614
id_167,0.209332439621
id_168,66.7824814097
id_169,15.037772457
id_170,15.8375805956
id_171,69.4527019626
id_172,20.2095484039
id_173,1.67350068182
id_174,23.9267259145
id_175,-0.535136253526
id_176,7.24807217071
id_177,18.0841553667
id_178,19.8210524412
id_179,25.0427154259
id_180,43.2377866435
id_181,31.6547621232
id_182,27.7957582035
id_183,12.7481726209
id_184,6.42707975651
id_185,41.780543866
id_186,35.962334941
id_187,34.8370854912
id_188,17.5170730125
id_189,23.2917564857
id_190,14.7596706031
id_191,16.29415832
id_192,31.1673772064
id_193,70.086066063
id_194,29.1430768161
id_195,10.477035692
id_196,63.6651192742
id_197,15.6658052168
id_198,20.386796963
id_199,20.9994957521
id_200,124.051827575
id_201,23.195098185
id_202,58.6751473235
id_203,6.56099199936
id_204,60.8966989634
id_205,37.2979116319
id_206,15.280202139
id_207,13.9586259753
id_208,63.2261484207
id_209,14.4084218053
id_210,36.1280659662
id_211,69.0487098025
id_212,19.2057927566
id_213,113.31766424
id_214,41.5890878667
id_215,78.5942081528
id_216,92.5523949415
id_217,72.094106102
id_218,30.7433355894
id_219,18.683901147
id_220,29.8407037371
id_221,57.9369224204
id_222,27.8123541471
id_223,37.7581318612
id_224,43.8127219261
id_225,10.5288376701
id_226,3.45459985869
id_227,80.554492987
id_228,31.1834246698
id_229,0.885879678904
id_230,41.2098322113
id_231,16.244274179
id_232,21.8218546989
id_233,8.09125383275
id_234,14.3269603044
id_235,25.5224329239
id_236,13.7522435857
id_237,2.50348785978
id_238,22.0417917153
id_239,11.1566248668
