id,value
id_0,25.389297285
id_1,63.8159014609
id_2,18.9469726296
id_3,28.999211933
id_4,9.13283047177
id_5,33.1157677248
id_6,41.0949278446
id_7,18.0307025574
id_8,52.5192440509
id_9,32.2464976029
id_10,38.7034415921
id_11,59.0454993786
id_12,35.2386969266
id_13,41.2677734188
id_14,26.7062692687
id_15,12.9430878135
id_16,51.8614853818
id_17,23.8052829458
id_18,17.8762814997
id_19,19.1121907768
id_20,15.987649401
id_21,31.3543221774
id_22,39.0317776287
id_23,10.8999282418
id_24,61.2743988154
id_25,45.8328650664
id_26,28.7569422004
id_27,6.56457905199
id_28,29.1264831078
id_29,37.0228889656
id_30,18.2784337472
id_31,11.3580710842
id_32,16.4987274332
id_33,7.83018578944
id_34,15.2232042641
id_35,42.5418613735
id_36,22.0600035136
id_37,27.8608091003
id_38,3.67459813041
id_39,59.3940919064
id_40,47.6281791874
id_41,20.4182596713
id_42,52.7779528293
id_43,18.7156274652
id_44,44.9921436238
id_45,48.5451275719
id_46,57.4887902714
id_47,41.4151047577
id_48,55.6641477797
id_49,39.5599826043
id_50,30.5467246225
id_51,23.8203122617
id_52,38.9730105992
id_53,23.618726618
id_54,37.1568831241
id_55,38.3285357628
id_56,25.1370717706
id_57,22.2040838701
id_58,35.4012497559
id_59,32.0565815788
id_60,12.9767610142
id_61,21.869759993
id_62,32.3101480319
id_63,53.6754356348
id_64,50.8303940031
id_65,26.1055387823
id_66,38.2321119166
id_67,53.0969084472
id_68,29.2596316594
id_69,40.2297339986
id_70,64.5681543811
id_71,55.3677187479
id_72,41.6680104165
id_73,14.2816063167
id_74,14.1687548514
id_75,36.3073999477
id_76,62.7282802395
id_77,2.7246275876
id_78,41.1372919956
id_79,42.5151586043
id_80,7.9042455478
id_81,22.5775772194
id_82,5.43652052553
id_83,30.7635224548
id_84,8.46355956711
id_85,5.42230696577
id_86,16.7324786809
id_87,10.6230192406
id_88,20.1828913227
id_89,25.0889652284
id_90,35.1923511901
id_91,11.7049485612
id_92,12.392680051
id_93,9.51749700711
id_94,37.5656118648
id_95,15.3143604199
id_96,16.570121075
id_97,9.29825925589
id_98,11.8004058872
id_99,4.66125708678
id_100,9.77567766423
id_101,17.9127950234
id_102,12.4301357549
id_103,8.11909149471
id_104,12.9305739566
id_105,36.2696569393
id_106,26.4753792048
id_107,7.62918978192
id_108,16.929829017
id_109,15.1130150123
id_110,12.0825542574
id_111,16.6704464821
id_112,16.120754586
id_113,26.1655095457
id_114,19.029954156
id_115,16.4240703418
id_116,6.42685950953
id_117,46.0200014456
id_118,26.8422662195
id_119,0.550083324239
id_120,-0.900024038673
id_121,9.45216840879
id_122,12.596059218
id_123,12.7508325757
id_124,7.45835605863
id_125,24.9199453272
id_126,21.1566342835
id_127,10.032528678
id_128,20.449780836
id_129,13.8217834348
id_130,-0.412474531079
id_131,32.6792400763
id_132,14.3774801341
id_133,20.8180575132
id_134,26.2943126662
id_135,24.0823080394
id_136,10.0343093732
id_137,21.2676796099
id_138,78.438331059
id_139,60.4353376963
id_140,27.1659289557
id_141,18.1036016962
id_142,24.5418485271
id_143,7.30245370481
id_144,12.0637615406
id_145,10.1065363446
id_146,19.6048709343
id_147,7.76899210421
id_148,12.6977713623
id_149,15.5093334497
id_150,46.2689007782
id_151,21.6339557863
id_152,22.1563036941
id_153,14.3978707707
id_154,13.9372015613
id_155,24.8799770548
id_156,25.0705080252
id_157,36.3346401914
id_158,4.53519469787
id_159,23.4528180051
id_160,41.8544004982
id_161,19.4380269248
id_162,63.5814681413
id_163,16.9943040166
id_164,33.7892187784
id_165,23.6639646952
id_166,24.3420220785
id_167,0.263503645547
id_168,66.9308637536
id_169,14.9864843553
id_170,15.8153218415
id_171,69.5491487137
id_172,20.1420126321
id_173,1.79188485328
id_174,24.0895371051
id_175,-0.53910701116
id_176,7.45059724638
id_177,18.1157577749
id_178,20.0535585244
id_179,24.9467159524
id_180,43.0897468223
id_181,32.0005863573
id_182,28.0972767609
id_183,12.9660250693
id_184,6.48309818675
id_185,41.8491215936
id_186,35.9278190671
id_187,34.6558663696
id_188,17.3084142662
id_189,23.4467698301
id_190,14.7619382211
id_191,16.1097472806
id_192,31.0438604676
id_193,70.3048851193
id_194,29.4588507199
id_195,10.5097159087
id_196,63.5338506682
id_197,15.8398028368
id_198,20.3597503662
id_199,20.9730272734
id_200,123.629006964
id_201,23.0752592108
id_202,58.6457895028
id_203,6.42103231058
id_204,60.6516230405
id_205,36.8744302212
id_206,15.2022105148
id_207,14.1124053251
id_208,62.8424465312
id_209,14.4740178335
id_210,36.4410492522
id_211,68.8329233294
id_212,19.2693681645
id_213,113.423950159
id_214,41.3894700645
id_215,78.2474409424
id_216,92.0702791155
id_217,71.9555394031
id_218,30.6720594017
id_219,19.0137306583
id_220,29.8681096317
id_221,57.791286966
id_222,27.6162971268
id_223,37.761737414
id_224,43.7426546757
id_225,10.465971786
id_226,3.83968462307
id_227,80.5354381357
id_228,31.0321671436
id_229,0.915033223839
id_230,41.0544993375
id_231,16.0666556806
id_232,21.8967791028
id_233,7.99578104942
id_234,14.5994717111
id_235,25.4478291074
id_236,13.8548742559
id_237,2.58210930885
id_238,22.1956832471
id_239,11.524015742
