id,value
id_0,25.3514135003
id_1,63.7261573007
id_2,18.9410486127
id_3,29.0737693092
id_4,9.19650238579
id_5,33.65891212
id_6,41.0887267062
id_7,18.2072182885
id_8,52.6623185069
id_9,32.266612752
id_10,38.8026642825
id_11,59.0821612777
id_12,35.151011853
id_13,41.7685136434
id_14,26.3777831673
id_15,12.9699942926
id_16,51.8491926259
id_17,23.9147420467
id_18,18.2656512609
id_19,19.3458065262
id_20,15.9741332705
id_21,31.5673503483
id_22,39.0528940925
id_23,11.0383340488
id_24,61.1317017872
id_25,45.8660001589
id_26,29.0132981119
id_27,6.37390789902
id_28,28.9846949916
id_29,37.2934360323
id_30,18.3482570246
id_31,11.2846957535
id_32,16.3961650042
id_33,7.70603525612
id_34,15.1517923807
id_35,42.2055510937
id_36,21.8541181902
id_37,27.793264978
id_38,3.69138289371
id_39,59.6610502482
id_40,47.9563926138
id_41,20.1424914505
id_42,52.6821193482
id_43,18.7576913016
id_44,45.2705240323
id_45,48.4087965289
id_46,57.4070519077
id_47,41.5163835508
id_48,55.7734577511
id_49,39.7360584999
id_50,30.4778064579
id_51,23.8737375626
id_52,38.5848571198
id_53,23.4379900426
id_54,37.2109601284
id_55,38.4045308486
id_56,25.1688094322
id_57,22.253025911
id_58,35.3765386433
id_59,31.7969289561
id_60,13.2739033802
id_61,21.5773097863
id_62,32.4030893648
id_63,53.9979126472
id_64,50.9644243132
id_65,26.0276331564
id_66,38.3670312985
id_67,53.2482768637
id_68,29.1119484676
id_69,40.3623774278
id_70,64.5881998762
id_71,55.4165499848
id_72,41.7513702256
id_73,14.1834013321
id_74,14.1982983698
id_75,36.4741375981
id_76,62.8260361426
id_77,2.72724436768
id_78,41.0630140204
id_79,42.5670463411
id_80,7.7721314652
id_81,22.7811877031
id_82,5.33764383519
id_83,30.5717597098
id_84,8.4980012971
id_85,5.5263476365
id_86,16.7477262306
id_87,10.5455336845
id_88,20.2950066899
id_89,25.591266569
id_90,35.2074293413
id_91,11.7888989626
id_92,12.4816682222
id_93,9.25536572421
id_94,37.6150268741
id_95,15.3009982703
id_96,16.5258862277
id_97,9.29851829648
id_98,11.9993248058
id_99,4.71479680648
id_100,9.63452095023
id_101,17.8448196257
id_102,12.5578612837
id_103,7.96749729524
id_104,12.8987659111
id_105,36.3433845126
id_106,26.7925493876
id_107,7.42068702348
id_108,16.7759970228
id_109,14.9487327511
id_110,12.2002099841
id_111,16.999185023
id_112,16.0468722231
id_113,26.5454430664
id_114,18.8957559739
id_115,16.486838151
id_116,6.08300439722
id_117,46.2650547891
id_118,26.9755022573
id_119,0.496290421166
id_120,-1.00188513216
id_121,9.29544890472
id_122,12.5909826705
id_123,12.97403894
id_124,7.58296113266
id_125,24.8970060696
id_126,20.7864326036
id_127,10.1929406869
id_128,20.7005367999
id_129,14.0548189963
id_130,-0.411870645574
id_131,32.8560377163
id_132,14.1736299782
id_133,20.5890515149
id_134,26.248443103
id_135,23.9180991083
id_136,10.0126588533
id_137,21.023776783
id_138,78.5687433882
id_139,60.1718683531
id_140,27.0178202481
id_141,18.1087173854
id_142,24.6267910178
id_143,7.22205858707
id_144,11.7197064249
id_145,10.1949465142
id_146,19.6104834221
id_147,7.84853115179
id_148,12.7205211587
id_149,15.4652577493
id_150,46.4652680496
id_151,21.9429764284
id_152,22.1889026404
id_153,14.5508612866
id_154,13.8245505853
id_155,24.977770859
id_156,25.3213335789
id_157,36.2535579937
id_158,4.5267380297
id_159,23.5626923817
id_160,42.1139131062
id_161,19.4525246281
id_162,64.0741032304
id_163,17.1303902787
id_164,33.7942856498
id_165,23.5147079461
id_166,24.5031212255
id_167,0.198435360614
id_168,66.7646384318
id_169,15.0320529821
id_170,15.849188584
id_171,69.3765246482
id_172,20.220153943
id_173,1.66995863475
id_174,23.9701485357
id_175,-0.530267111727
id_176,7.24545934768
id_177,18.1269848181
id_178,19.8000267446
id_179,25.0410628179
id_180,43.240322019
id_181,31.6147075775
id_182,27.7567801289
id_183,12.7238450571
id_184,6.41271938101
id_185,41.7848110454
id_186,35.956251985
id_187,34.8623383418
id_188,17.5170952735
id_189,23.2744045863
id_190,14.7488847704
id_191,16.3019100593
id_192,31.1730874354
id_193,69.4861890343
id_194,29.1176888374
id_195,10.4799750409
id_196,63.6729632009
id_197,15.6625561047
id_198,20.3769191784
id_199,20.9940375262
id_200,124.061348284
id_201,23.2314900332
id_202,58.6734430033
id_203,6.57693223832
id_204,60.8614072151
id_205,37.2959623134
id_206,15.2834304188
id_207,13.9741509517
id_208,63.2408537185
id_209,14.4267957053
id_210,36.1111400701
id_211,69.0575396394
id_212,19.1930417071
id_213,113.31844562
id_214,41.5862746014
id_215,78.5991361974
id_216,92.5624968793
id_217,72.1075600654
id_218,30.7418989508
id_219,18.6734365343
id_220,29.8221820113
id_221,57.9483112703
id_222,27.8353617556
id_223,37.7940502507
id_224,43.8182695068
id_225,10.5296141899
id_226,3.42715824314
id_227,80.5500433485
id_228,31.2049253975
id_229,0.889744540268
id_230,41.2108635934
id_231,16.2619437499
id_232,21.8330008767
id_233,8.10872943317
id_234,14.3188289567
id_235,25.508293066
id_236,13.7412830421
id_237,2.51285595766
id_238,22.0303794891
id_239,11.1379474476
