ID,class
0,9
1,1
2,0
3,7
4,6
5,9
6,9
7,1
8,4
9,0
10,7
11,6
12,1
13,3
14,9
15,8
16,5
17,9
18,8
19,9
20,9
21,9
22,1
23,1
24,2
25,7
26,9
27,9
28,0
29,4
30,7
31,6
32,1
33,4
34,9
35,1
36,7
37,7
38,7
39,4
40,3
41,9
42,1
43,5
44,2
45,2
46,6
47,4
48,5
49,9
50,6
51,6
52,6
53,6
54,1
55,2
56,8
57,0
58,7
59,7
60,2
61,6
62,3
63,2
64,3
65,9
66,0
67,7
68,7
69,5
70,1
71,2
72,3
73,1
74,6
75,4
76,2
77,2
78,1
79,8
80,2
81,5
82,1
83,3
84,1
85,8
86,5
87,7
88,7
89,7
90,0
91,7
92,1
93,5
94,9
95,5
96,7
97,0
98,3
99,1
100,6
101,0
102,1
103,8
104,0
105,3
106,9
107,8
108,7
109,4
110,7
111,1
112,0
113,6
114,8
115,9
116,1
117,4
118,9
119,4
120,0
121,1
122,8
123,6
124,9
125,6
126,2
127,6
128,3
129,7
130,2
131,9
132,8
133,2
134,8
135,9
136,4
137,8
138,7
139,9
140,6
141,4
142,0
143,3
144,8
145,6
146,0
147,6
148,7
149,6
150,7
151,4
152,4
153,2
154,1
155,1
156,5
157,2
158,1
159,8
160,9
161,8
162,9
163,6
164,9
165,2
166,9
167,8
168,8
169,0
170,4
171,6
172,6
173,0
174,1
175,8
176,3
177,8
178,9
179,3
180,5
181,3
182,4
183,2
184,6
185,9
186,8
187,9
188,1
189,3
190,7
191,0
192,3
193,2
194,5
195,5
196,8
197,7
198,9
199,5
200,5
201,6
202,9
203,5
204,0
205,1
206,3
207,5
208,6
209,1
210,7
211,0
212,9
213,5
214,5
215,0
216,4
217,2
218,6
219,3
220,8
221,7
222,3
223,6
224,1
225,7
226,5
227,0
228,3
229,4
230,9
231,1
232,3
233,3
234,1
235,9
236,6
237,2
238,4
239,4
240,3
241,0
242,2
243,7
244,9
245,5
246,6
247,4
248,1
249,4
250,7
251,6
252,0
253,0
254,5
255,4
256,4
257,0
258,2
259,5
260,2
261,0
262,6
263,3
264,2
265,8
266,5
267,5
268,5
269,8
270,9
271,9
272,5
273,7
274,0
275,5
276,9
277,8
278,0
279,4
280,9
281,9
282,7
283,8
284,9
285,4
286,2
287,4
288,7
289,4
290,8
291,7
292,7
293,1
294,5
295,8
296,7
297,4
298,8
299,0
300,1
301,0
302,7
303,1
304,0
305,2
306,0
307,6
308,0
309,5
310,3
311,7
312,0
313,3
314,7
315,2
316,5
317,5
318,4
319,8
320,9
321,6
322,2
323,9
324,6
325,4
326,8
327,7
328,4
329,7
330,1
331,5
332,6
333,7
334,4
335,3
336,0
337,5
338,1
339,0
340,7
341,8
342,8
343,7
344,3
345,8
346,2
347,8
348,2
349,9
350,5
351,1
352,5
353,9
354,9
355,0
356,9
357,3
358,7
359,2
360,0
361,2
362,4
363,0
364,8
365,3
366,1
367,1
368,6
369,3
370,4
371,3
372,6
373,4
374,1
375,7
376,3
377,9
378,1
379,2
380,0
381,2
382,1
383,0
384,8
385,5
386,6
387,1
388,1
389,3
390,6
391,3
392,8
393,0
394,3
395,7
396,3
397,5
398,9
399,7
400,7
401,2
402,4
403,5
404,0
405,4
406,9
407,2
408,8
409,8
410,6
411,8
412,0
413,9
414,6
415,7
416,0
417,6
418,0
419,9
420,8
421,3
422,5
423,9
424,6
425,8
426,5
427,5
428,1
429,0
430,2
431,5
432,6
433,4
434,1
435,5
436,0
437,7
438,8
439,7
440,5
441,4
442,1
443,0
444,3
445,1
446,2
447,0
448,3
449,4
450,2
451,1
452,1
453,6
454,9
455,3
456,7
457,8
458,3
459,9
460,8
461,7
462,1
463,5
464,6
465,2
466,0
467,4
468,8
469,8
470,9
471,0
472,8
473,5
474,4
475,6
476,4
477,1
478,6
479,3
480,1
