ID,class
0,9
1,9
2,0
3,5
4,6
5,9
6,7
7,1
8,4
9,0
10,7
11,2
12,1
13,2
14,9
15,1
16,5
17,1
18,8
19,9
20,9
21,9
22,1
23,1
24,4
25,7
26,0
27,9
28,0
29,4
30,5
31,5
32,1
33,2
34,9
35,1
36,5
37,3
38,7
39,4
40,5
41,1
42,1
43,4
44,2
45,4
46,6
47,4
48,3
49,9
50,6
51,6
52,3
53,6
54,1
55,0
56,8
57,0
58,7
59,5
60,2
61,6
62,6
63,4
64,5
65,9
66,0
67,5
68,7
69,3
70,1
71,2
72,6
73,1
74,6
75,4
76,5
77,2
78,9
79,8
80,7
81,5
82,1
83,4
84,1
85,2
86,5
87,7
88,7
89,7
90,0
91,7
92,1
93,4
94,9
95,5
96,6
97,0
98,3
99,1
100,6
101,0
102,1
103,0
104,0
105,5
106,8
107,8
108,7
109,4
110,7
111,1
112,1
113,1
114,0
115,9
116,9
117,7
118,9
119,4
120,4
121,9
122,8
123,6
124,9
125,6
126,2
127,6
128,6
129,7
130,2
131,1
132,0
133,6
134,8
135,9
136,4
137,9
138,7
139,3
140,6
141,6
142,4
143,3
144,8
145,6
146,0
147,6
148,7
149,6
150,5
151,5
152,4
153,2
154,1
155,1
156,3
157,2
158,1
159,8
160,9
161,8
162,0
163,4
164,1
165,2
166,2
167,8
168,8
169,0
170,5
171,2
172,5
173,0
174,1
175,8
176,4
177,8
178,1
179,4
180,5
181,3
182,4
183,2
184,2
185,9
186,9
187,9
188,1
189,3
190,7
191,0
192,3
193,2
194,5
195,5
196,8
197,7
198,9
199,5
200,3
201,6
202,1
203,5
204,0
205,1
206,3
207,5
208,6
209,8
210,5
211,0
212,9
213,5
214,5
215,8
216,5
217,7
218,6
219,8
220,0
221,7
222,4
223,6
224,1
225,5
226,6
227,1
228,5
229,2
230,9
231,1
232,3
233,2
234,1
235,2
236,6
237,2
238,4
239,2
240,3
241,0
242,2
243,7
244,9
245,6
246,6
247,4
248,9
249,0
250,7
251,6
252,0
253,8
254,2
255,5
256,4
257,3
258,7
259,7
260,2
261,0
262,6
263,3
264,0
265,8
266,5
267,9
268,5
269,8
270,9
271,9
272,2
273,7
274,0
275,5
276,9
277,8
278,9
279,4
280,9
281,9
282,5
283,8
284,1
285,4
286,6
287,3
288,1
289,4
290,8
291,7
